Year (year),Report Period (quarter),State Name (state_name),Age Group (age_group),Gender (gender),Unemployment Rate (value),State Code (state_code)
"2019","July-September","Rajasthan","15-29 Years","Person","23.4","08"
"2020","April-June","All-India","15-29 Years","Person","34.7","99"
"2019","April-June","Gujarat","15 Years And Above","Female","1.7","24"
"2018","July-September","Jharkhand","All","Male","11.9","20"
"2022","January-March","Assam","15-29 Years","Male","21.6","18"
"2021","July-September","Andhra Pradesh","All","Male","7.5","28"
"2020","October-December","Punjab","15-29 Years","Male","20.1","03"
"2020","July-September","Maharashtra","15 Years And Above","Person","22.6","27"
"2022","July-September","Telangana","15 Years And Above","Person","8.1","36"
"2021","October-December","Maharashtra","All","Male","7.1","27"
"2021","April-June","Punjab","15 Years And Above","Male","6.8","03"
"2020","July-September","Andhra Pradesh","15 Years And Above","Person","13.9","28"
"2021","April-June","Jharkhand","15 Years And Above","Person","17.9","20"
"2019","October-December","Jharkhand","All","Male","8.1","20"
"2019","January-March","Madhya Pradesh","15-29 Years","Person","30.8","23"
"2023","January-March","Odisha","All","Female","10.2","21"
"2021","October-December","Odisha","All","Male","12.0","21"
"2023","July-September","Jammu And Kashmir","All","Person","10.7","01"
"2019","January-March","Haryana","15 Years And Above","Female","9.3","06"
"2020","January-March","Himachal Pradesh","15-29 Years","Person","31.6","02"
"2021","July-September","Karnataka","All","Female","7.0","29"
"2021","January-March","Uttar Pradesh","All","Female","15.9","09"
"2021","July-September","Delhi","All","Female","6.0","07"
"2019","April-June","Haryana","All","Female","10.4","06"
"2021","January-March","Kerala","15 Years And Above","Male","12.3","32"
"2019","January-March","Delhi","15-29 Years","Male","27.9","07"
"2019","April-June","Delhi","15 Years And Above","Person","11.1","07"
"2020","April-June","Jharkhand","15-29 Years","Male","51.6","20"
"2023","October-December","Jammu And Kashmir","15 Years And Above","Male","5.6","01"
"2020","January-March","Madhya Pradesh","All","Female","11.8","23"
"2021","April-June","Haryana","15 Years And Above","Male","12.0","06"
"2021","April-June","West Bengal","All","Female","5.0","19"
"2022","April-June","Delhi","All","Male","5.5","07"
"2018","October-December","Maharashtra","15-29 Years","Male","18.3","27"
"2022","July-September","Jharkhand","15 Years And Above","Female","6.8","20"
"2022","January-March","Delhi","15-29 Years","Male","13.5","07"
"2020","April-June","Gujarat","15-29 Years","Person","12.5","24"
"2020","October-December","Bihar","15 Years And Above","Person","8.9","10"
"2024","January-March","Bihar","15 Years And Above","Male","6.8","10"
"2018","July-September","Madhya Pradesh","15 Years And Above","Female","10.0","23"
"2023","April-June","Chhattisgarh","15-29 Years","Male","28.3","22"
"2020","October-December","Kerala","All","Male","14.0","32"
"2021","January-March","Assam","All","Male","6.7","18"
"2023","July-September","Rajasthan","All","Person","12.1","08"
"2020","October-December","Himachal Pradesh","15-29 Years","Male","25.9","02"
"2023","July-September","West Bengal","15-29 Years","Male","14.4","19"
"2020","January-March","Rajasthan","All","Person","12.7","08"
"2020","April-June","All-India","15-29 Years","Male","34.3","99"
"2018","July-September","Haryana","15-29 Years","Male","16.5","06"
"2023","July-September","Odisha","15-29 Years","Person","20.9","21"
"2023","April-June","Chhattisgarh","15 Years And Above","Male","9.9","22"
"2019","October-December","Rajasthan","15 Years And Above","Female","9.4","08"
"2022","July-September","Rajasthan","15-29 Years","Person","31.8","08"
"2018","October-December","Punjab","All","Male","6.1","03"
"2023","April-June","Rajasthan","All","Person","11.7","08"
"2021","July-September","Punjab","All","Male","7.3","03"
"2023","July-September","Delhi","15 Years And Above","Male","3.8","07"
"2019","January-March","Delhi","15 Years And Above","Male","12.9","07"
"2021","April-June","Rajasthan","15-29 Years","Male","31.8","08"
"2020","January-March","Punjab","All","Female","14.2","03"
"2021","July-September","Chhattisgarh","15 Years And Above","Male","10.6","22"
"2020","October-December","Gujarat","All","Female","3.6","24"
"2018","October-December","Andhra Pradesh","All","Male","6.6","28"
"2023","January-March","Uttarakhand","15 Years And Above","Person","6.2","05"
"2021","January-March","All-India","15-29 Years","Female","29.5","99"
"2020","October-December","Karnataka","All","Female","17.0","29"
"2020","April-June","Himachal Pradesh","All","Female","12.6","02"
"2024","January-March","Gujarat","All","Person","4.6","24"
"2023","April-June","Odisha","15 Years And Above","Person","6.7","21"
"2023","October-December","Tamil Nadu","15-29 Years","Male","13.5","33"
"2019","April-June","Karnataka","15-29 Years","Person","12.1","29"
"2021","January-March","Jharkhand","15 Years And Above","Female","8.9","20"
"2022","October-December","Rajasthan","15-29 Years","Person","33.8","08"
"2019","April-June","Rajasthan","15 Years And Above","Female","14.1","08"
"2020","January-March","Punjab","15 Years And Above","Female","14.3","03"
"2020","October-December","Punjab","15-29 Years","Female","42.5","03"
"2022","January-March","Kerala","All","Female","19.1","32"
"2024","January-March","Gujarat","All","Female","4.7","24"
"2019","January-March","Tamil Nadu","15 Years And Above","Female","12.5","33"
"2019","January-March","Odisha","All","Female","16.0","21"
"2023","January-March","Rajasthan","15-29 Years","Person","30.3","08"
"2021","January-March","Maharashtra","All","Female","16.2","27"
"2019","October-December","Jharkhand","15-29 Years","Female","10.5","20"
"2022","January-March","Bihar","All","Female","11.0","10"
"2019","January-March","West Bengal","15-29 Years","Male","19.5","19"
"2020","April-June","Jharkhand","15-29 Years","Female","33.9","20"
"2019","July-September","Kerala","All","Female","20.7","32"
"2020","January-March","Odisha","15 Years And Above","Female","18.2","21"
"2021","July-September","Telangana","All","Female","11.3","36"
"2022","January-March","Maharashtra","15-29 Years","Male","16.4","27"
"2020","July-September","Tamil Nadu","15-29 Years","Female","25.3","33"
"2023","April-June","West Bengal","15 Years And Above","Male","4.1","19"
"2022","April-June","Odisha","15 Years And Above","Female","17.6","21"
"2023","April-June","Punjab","All","Male","7.1","03"
"2022","April-June","Tamil Nadu","15 Years And Above","Female","7.4","33"
"2021","October-December","All-India","15 Years And Above","Person","8.7","99"
"2018","July-September","Andhra Pradesh","15 Years And Above","Person","7.7","28"
"2022","July-September","Telangana","15-29 Years","Person","21.8","36"
"2020","October-December","Himachal Pradesh","15-29 Years","Female","20.2","02"
"2020","July-September","Gujarat","All","Female","3.2","24"
"2022","January-March","Karnataka","15-29 Years","Person","13.7","29"
"2023","July-September","Chhattisgarh","15-29 Years","Male","24.9","22"
"2023","October-December","Assam","15 Years And Above","Female","14.0","18"
"2020","July-September","Haryana","15-29 Years","Female","33.4","06"
"2021","January-March","Chhattisgarh","15 Years And Above","Person","11.6","22"
"2022","April-June","Uttar Pradesh","15-29 Years","Person","17.5","09"
"2021","January-March","Assam","15 Years And Above","Male","6.7","18"
"2022","July-September","Himachal Pradesh","15-29 Years","Person","27.8","02"
"2021","January-March","Tamil Nadu","15-29 Years","Person","23.9","33"
"2020","April-June","Haryana","15-29 Years","Female","31.7","06"
"2020","January-March","Haryana","15-29 Years","Male","14.4","06"
"2023","July-September","Bihar","All","Male","6.4","10"
"2019","October-December","Chhattisgarh","15-29 Years","Person","25.8","22"
"2021","October-December","Jammu And Kashmir","15-29 Years","Person","33.0","01"
"2022","April-June","Punjab","15 Years And Above","Person","8.2","03"
"2021","January-March","Himachal Pradesh","All","Person","7.8","02"
"2023","October-December","Punjab","15 Years And Above","Female","11.2","03"
"2021","October-December","Jharkhand","15 Years And Above","Female","9.3","20"
"2021","October-December","Telangana","All","Person","7.7","36"
"2022","October-December","Jammu And Kashmir","All","Person","13.5","01"
"2019","October-December","Telangana","15-29 Years","Female","31.4","36"
"2023","January-March","Tamil Nadu","15 Years And Above","Female","6.9","33"
"2019","January-March","Odisha","All","Male","15.6","21"
"2020","July-September","Madhya Pradesh","15 Years And Above","Person","14.9","23"
"2019","July-September","Karnataka","All","Female","4.9","29"
"2023","July-September","Uttarakhand","15 Years And Above","Person","6.1","05"
"2023","January-March","Uttar Pradesh","15 Years And Above","Female","10.4","09"
"2021","October-December","All-India","15 Years And Above","Female","10.5","99"
"2018","October-December","Rajasthan","All","Female","13.2","08"
"2018","October-December","Telangana","15-29 Years","Person","32.8","36"
"2022","April-June","Tamil Nadu","15 Years And Above","Person","8.2","33"
"2019","April-June","Madhya Pradesh","15 Years And Above","Female","11.6","23"
"2018","July-September","Gujarat","15 Years And Above","Person","4.8","24"
"2020","January-March","Gujarat","All","Person","3.7","24"
"2021","October-December","Telangana","15 Years And Above","Male","7.1","36"
"2021","January-March","Bihar","15 Years And Above","Female","11.9","10"
"2023","January-March","Punjab","All","Male","8.1","03"
"2018","July-September","Uttar Pradesh","All","Person","12.8","09"
"2022","October-December","Punjab","All","Female","11.3","03"
"2019","October-December","Tamil Nadu","15 Years And Above","Person","7.4","33"
"2023","October-December","Gujarat","15-29 Years","Male","7.2","24"
"2021","July-September","Jharkhand","All","Person","13.6","20"
"2022","April-June","All-India","All","Male","7.1","99"
"2023","July-September","Gujarat","15-29 Years","Female","8.7","24"
"2020","January-March","Jammu And Kashmir","15-29 Years","Female","57.4","01"
"2018","October-December","Uttar Pradesh","All","Male","15.4","09"
"2022","April-June","Madhya Pradesh","15-29 Years","Female","26.2","23"
"2022","January-March","Jammu And Kashmir","All","Male","10.9","01"
"2021","October-December","Tamil Nadu","15 Years And Above","Male","10.0","33"
"2023","April-June","Himachal Pradesh","15 Years And Above","Male","7.7","02"
"2018","October-December","Madhya Pradesh","15 Years And Above","Female","11.7","23"
"2023","July-September","Chhattisgarh","15 Years And Above","Person","10.1","22"
"2021","April-June","Rajasthan","15-29 Years","Female","50.8","08"
"2020","October-December","Jharkhand","All","Male","16.7","20"
"2021","January-March","Punjab","15 Years And Above","Female","10.6","03"
"2019","April-June","Uttar Pradesh","15-29 Years","Female","19.6","09"
"2019","April-June","Karnataka","All","Person","4.3","29"
"2019","January-March","Uttar Pradesh","All","Female","11.4","09"
"2019","July-September","Himachal Pradesh","All","Person","10.8","02"
"2020","October-December","Madhya Pradesh","15-29 Years","Male","26.7","23"
"2022","October-December","Jammu And Kashmir","15 Years And Above","Person","13.5","01"
"2021","April-June","Tamil Nadu","15-29 Years","Person","28.5","33"
"2019","July-September","Gujarat","15-29 Years","Male","10.0","24"
"2023","October-December","Maharashtra","15-29 Years","Person","15.2","27"
"2022","April-June","Maharashtra","15-29 Years","Person","15.5","27"
"2020","January-March","Jharkhand","15 Years And Above","Person","11.8","20"
"2023","October-December","Chhattisgarh","15 Years And Above","Person","9.6","22"
"2023","January-March","Telangana","15 Years And Above","Person","8.4","36"
"2021","January-March","Punjab","15 Years And Above","Person","7.6","03"
"2019","January-March","Karnataka","15-29 Years","Female","10.0","29"
"2019","April-June","Madhya Pradesh","15-29 Years","Person","31.2","23"
"2021","January-March","Punjab","All","Male","6.9","03"
"2019","July-September","Assam","15 Years And Above","Male","8.4","18"
"2019","October-December","Telangana","15-29 Years","Person","27.1","36"
"2021","October-December","Kerala","15-29 Years","Person","37.7","32"
"2022","October-December","West Bengal","All","Male","4.3","19"
"2021","July-September","Telangana","15 Years And Above","Person","9.5","36"
"2024","January-March","Madhya Pradesh","All","Male","5.6","23"
